magnitude,date_time,alert,tsunami,depth,latitude,longitude
7.1,2,0,0,10.0,-11.183,164.882
8.0,2,0,1,24.0,-10.799,165.114
6.9,2,3,0,107.0,42.77,143.092
6.8,1,0,0,45.0,-28.094,-70.653
7.5,1,4,0,8.7,55.228,-134.859
6.7,12,4,0,200.7,-14.344,167.286
7.1,12,4,0,155.0,-6.533,129.825
7.3,12,4,0,31.0,37.89,143.949
6.5,11,4,0,20.0,14.129,-92.164
6.8,11,4,0,13.7,23.005,95.885
7.4,11,3,0,24.0,13.988,-91.895
7.8,10,4,0,14.0,52.788,-132.101
6.5,10,4,0,17.0,10.086,-85.298
6.6,10,4,0,13.0,-4.892,134.03
7.3,9,4,0,170.0,1.929,-76.362
7.6,9,4,0,35.0,10.085,-85.315
7.6,8,4,0,28.0,10.811,126.638
7.3,8,4,0,28.0,12.139,-88.59
6.6,8,4,0,91.1,2.19,126.837
7.7,8,4,0,583.2,49.8,145.064
6.5,7,4,0,41.0,-4.651,153.173
6.6,4,4,0,134.7,-18.685,-174.705
6.7,4,4,0,16.0,-1.617,134.276
6.8,4,4,0,198.0,-5.462,147.117
6.7,4,4,0,29.0,-32.625,-71.365
7.0,4,4,0,13.0,28.696,-113.104
6.5,4,4,0,20.0,18.229,-102.689
8.2,4,0,0,25.1,0.802,92.463
8.6,4,3,0,20.0,2.327,93.063
7.1,3,4,0,40.7,-35.2,-72.217
6.6,3,4,0,118.0,-6.242,145.955
7.4,3,4,0,20.0,16.493,-98.231
6.7,2,4,0,12.0,51.708,95.991
6.7,2,4,0,11.0,9.999,123.206
7.1,2,4,0,23.0,-17.827,167.133
7.2,1,4,0,19.0,2.433,93.21
6.6,12,4,0,15.0,51.842,95.911
7.1,12,4,0,135.0,-7.551,146.809
6.5,12,4,0,59.0,17.986,-99.789
6.9,10,4,0,24.0,-14.438,-75.966
7.1,10,4,0,18.0,38.721,43.508
6.5,10,4,0,37.0,-6.57,147.881
6.9,9,4,0,50.0,27.73,88.155
6.7,9,4,0,30.0,40.273,142.779
6.7,9,4,0,91.0,2.965,97.893
7.0,9,4,0,185.1,-20.671,169.716
7.0,8,4,0,147.0,-7.641,-74.525
7.1,8,4,0,28.0,-18.311,168.218
6.5,8,4,0,35.0,-18.308,168.156
7.2,8,4,0,32.0,-18.365,168.143
6.6,7,4,0,10.0,-3.518,144.828
7.6,7,4,0,17.0,-29.539,-176.34
6.7,6,4,0,33.0,39.955,142.205
6.8,5,4,0,11.0,-20.244,168.226
6.8,4,4,0,79.0,-10.375,161.2
6.6,4,4,0,11.0,37.001,140.401
7.1,4,4,0,42.0,38.276,141.588
6.6,4,4,0,166.2,17.208,-94.338
6.9,3,4,0,8.0,20.687,99.822
6.6,3,4,0,25.7,39.241,142.463
6.5,3,4,0,6.8,36.166,141.562
7.7,3,4,0,18.6,38.058,144.59
7.9,3,4,0,42.6,36.281,141.111
9.1,3,4,0,29.0,38.297,142.373
7.3,3,4,0,32.0,38.435,142.842
6.7,2,4,0,21.0,-35.38,-72.834
6.9,2,4,0,26.0,-36.422,-72.96
7.2,1,4,0,68.0,28.777,63.951
7.0,1,4,0,9.0,-20.628,168.471
